created_at,username,gamemode,rank,points
2026-03-11T14:00:00Z,Ben21YT,Sword,HT3,8
2026-03-11T14:00:00Z,NeonGamer322,Sword,LT3,6
2026-03-11T14:00:00Z,Foxythatguy,Sword,LT3,6
2026-03-11T14:00:00Z,JUSTYDANI,Sword,HT4,4
2026-03-11T14:00:00Z,Jumpy13123,Sword,HT4,4
2026-03-11T14:00:00Z,MatheusAdelee,Sword,HT4,4
2026-03-11T14:00:00Z,Csigusz,Sword,HT4,4
2026-03-11T14:00:00Z,Masgara,Sword,LT4,3
2026-03-11T14:00:00Z,Rmin75,Sword,LT4,3
2026-03-11T14:00:00Z,adamkuka12,Sword,LT4,3
2026-03-11T14:00:00Z,Boldorix,Sword,LT4,3
2026-03-11T14:00:00Z,LordAnura,Sword,LT4,3
2026-03-11T14:00:00Z,Koni0722,Sword,LT4,3
2026-03-11T14:00:00Z,Csigusz_,Sword,HT5,2
2026-03-11T14:00:00Z,Xqvpandaking,Sword,LT2,10
2026-03-11T14:00:00Z,Only_a_bee,Axe,HT3,8
2026-03-11T14:00:00Z,1Disrrpt,Axe,HT3,8
2026-03-11T14:00:00Z,Ben21YT,Axe,LT3,6
2026-03-11T14:00:00Z,Koni0722,Axe,LT3,6
2026-03-11T14:00:00Z,NeonGamer322,Axe,LT3,6
2026-03-11T14:00:00Z,Blesken250,Axe,HT4,4
2026-03-11T14:00:00Z,JUSTYDANI,Axe,LT4,3
2026-03-11T14:00:00Z,adamkuka12,Axe,LT4,3
2026-03-11T14:00:00Z,Boldorix,Axe,HT5,2
2026-03-11T14:00:00Z,Rmin75,Axe,HT5,2
2026-03-11T14:00:00Z,Andrisx969,Axe,HT5,2
2026-03-11T14:00:00Z,Ben21YT,Mace,HT2,12
2026-03-11T14:00:00Z,Xqvpandaking,Mace,HT3,8
2026-03-11T14:00:00Z,Foxythatguy,Mace,HT3,8
2026-03-11T14:00:00Z,NeonGamer322,Mace,LT2,10
2026-03-11T14:00:00Z,Battasai,Mace,LT3,6
2026-03-11T14:00:00Z,Armmandoo,Mace,LT3,6
2026-03-11T14:00:00Z,1Disrrpt,Mace,LT3,6
2026-03-11T14:00:00Z,Masgara,Mace,HT4,4
2026-03-11T14:00:00Z,Koni0722,Mace,HT4,4
2026-03-11T14:00:00Z,Matheus_Adelee,Mace,HT4,4
2026-03-11T14:00:00Z,Rmin75,Mace,LT4,3
2026-03-11T14:00:00Z,JUSTYDANI,Mace,LT4,3
2026-03-11T14:00:00Z,LiverpoolKeszeg,Mace,LT4,3
2026-03-11T14:00:00Z,FrogMan015,Mace,HT5,2
2026-03-11T14:00:00Z,axMystix,Mace,HT5,2
2026-03-11T14:00:00Z,Krisionyt,Mace,LT3,6
2026-03-11T14:00:00Z,f3lix375,Mace,LT4,3
2026-03-11T14:00:00Z,Xqvpandaking,Pot,HT3,8
2026-03-11T14:00:00Z,NeonGamer322,Pot,LT3,6
2026-03-11T14:00:00Z,Koni0722,Pot,HT4,4
2026-03-11T14:00:00Z,7H3pii,Pot,HT4,4
2026-03-11T14:00:00Z,Ben21YT,Pot,HT4,4
